"original_Location","lat","lon","formatted","district","county_code","city","name","county","state","state_code","country","country_code","confidence","attribution","attribution_license","attribution_url"
"Davidsons Beach, Kekaha, Kauai",44.370297,-76.537712,"Davidsons Beach Trail, South Frontenac, ON, Canada",,,"South Frontenac",,"Frontenac","Ontario","ON","Canada","ca",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Ventnor",50.594976,-1.2029747,"Ventnor, Isle of Wight, ENG, United Kingdom",,"IOW","Ventnor",,"Isle of Wight","England","ENG","United Kingdom","gb",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Booti Booti National Park",-32.24447495,152.52830043393635,"Booti Booti National Park, Forster NSW 2428, Australia",,,"Forster","Booti Booti National Park",,"New South Wales","NSW","Australia","au",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"New Smyrna Beach, Volusia County",29.0258132,-80.9271271,"New Smyrna Beach, New Smyrna Beach, FL, United States of America",,,"New Smyrna Beach",,"Volusia County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Florida Keys, Monroe County",24.6670875,-81.5831421,"Florida Keys, Monroe County, FL, United States of America",,,,"Florida Keys","Monroe County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Tiger Beach",20.760939399999998,107.06400184790971,"Tiger beach, Hải Phòng, Cát Hải District, Vietnam",,,"Hải Phòng","Tiger beach","Cát Hải District",,,"Vietnam","vn",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Côte-Blanche, Nouméa",-22.3096866,166.4586132,"Mise à l'eau de la Côte Blanche, Chemin piéton, 98800 Noumea, France","Secteur Sud",,"Noumea","Mise à l'eau de la Côte Blanche","South Province",,,"France","fr",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Neptune, Duval County",30.3194614,-81.3949947924233,"Neptune Beach, FL, United States of America",,,"Neptune Beach","Neptune","Duval County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Bavaro Beach, Punta Cana",18.726485,-68.46192,"Avenue Bavaro, La Altagracia, Dominican Republic",,,,,"Higüey","La Altagracia",,"Dominican Republic","do",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Maxixe, Inhambane Bay",-23.80425795,35.419416651059244,"Baía de Inhambane, Maxixe, Inhambane Province, Mozambique",,,"Maxixe","Baía de Inhambane","Maxixe","Inhambane Province",,"Mozambique","mz",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Russel Island, Frankland Group",52.511084,7.896928,"Rüssel, Ankum, Germany","Bersenbrück",,"Ankum",,"Osnabrück","Lower Saxony",,"Germany","de",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Lennox Head",-28.7910334,153.5878047,"Lennox Head NSW 2478, Australia",,,"Lennox Head",,,"New South Wales","NSW","Australia","au",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Praia del Chifre, Olinda",-8.030762150000001,-34.861013929644955,"Praia del Chifre, Salgadinho, Olinda, Região Metropolitana do Recife, Brazil","Olinda",,"Olinda","Praia del Chifre","Região Metropolitana do Recife","Pernambuco","PE","Brazil","br",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Ponce Inlet, Volusia County",29.0963729,-80.9369983,"Ponce Inlet, FL, United States of America",,,"Ponce Inlet",,"Volusia County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Middleton Point, Fleurieu Peninsula",32.558715,-80.330419,"Middleton Point Road, Charleston County, SC, United States of America",,,,,"Charleston County","South Carolina","SC","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"New Smyrna Beach, Volusia County",29.0258132,-80.9271271,"New Smyrna Beach, New Smyrna Beach, FL, United States of America",,,"New Smyrna Beach",,"Volusia County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Second Beach, Port St Johns",-31.64758075,29.520781591695737,"Second beach, Mthumbane, Port St Johns Local Municipality, O.R. Tambo District Municipality, South Africa",,,"Port St Johns Local Municipality","Second beach","O.R. Tambo District Municipality","Eastern Cape","EC","South Africa","za",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Cocoa Beach, Brevard  County",28.3194741,-80.6102592,"Cocoa Beach, Cocoa Beach, FL, United States of America",,,"Cocoa Beach",,"Brevard County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Freetown Beach",41.77584135,-70.95144250653058,"Long Pond Town Beach, East Freetown, Freetown, MA, United States of America",,,"Freetown","Long Pond Town Beach","Bristol County","Massachusetts","MA","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Ka'anapali, Honokowai, Maui",20.929578,-156.683389,"Kaanapali, HI, United States of America",,,"Kaanapali",,"Maui County","Hawaii","HI","United States","us",0,,,"https://www.whosonfirst.org/docs/licenses/"
"North Topsail Beach, Onslow County",34.4901665,-77.43163,"North Topsail Beach, NC, United States of America",,,"North Topsail Beach",,"Onslow County","North Carolina","NC","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Vityaz",51.9747711,104.1047099,"Vityaz', Подкаменское сельское поселение, Шелеховский район, Russia",,,"Подкаменское сельское поселение","Vityaz'","Шелеховский район","Irkutsk Oblast",,"Russia","ru",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Crowdy Head",-31.84016,152.7511891,"Crowdy Head, Mid-Coast Council, NSW, Australia",,,"Mid-Coast Council",,,"New South Wales","NSW","Australia","au",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Cancun",43.8844201,125.3180998,"130000 Jilin, China",,,"Changchun City",,,"Jilin",,"China","cn",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Busselton",-33.644499,115.3488754,"Busselton, WA, Australia",,,"Busselton","Busselton",,"Western Australia","WA","Australia","au",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Sandridge Beach",-37.8409176,144.91496013194643,"Sandridge Beach, Port Melbourne VIC 3207, Australia","Garden City",,"Melbourne","Sandridge Beach",,"Victoria","VIC","Australia","au",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"New Smyrna Beach, Volusia County",29.0258132,-80.9271271,"New Smyrna Beach, New Smyrna Beach, FL, United States of America",,,"New Smyrna Beach",,"Volusia County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Dog Patch, San Onofre",37.456801,-76.438491,"Dog Patch, Mathews County, VA, United States of America",,,,,"Mathews County","Virginia","VA","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Mona Vale Beach, Sydney",-33.68273345,151.3114565192589,"Mona Vale Beach, Sydney NSW 2103, Australia",,,"Sydney","Mona Vale Beach",,"New South Wales","NSW","Australia","au",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Curlew Island, Breton Sound",-27.944395,153.415879,"Curlew Island, Gold Coast City QLD, Australia",,,"Gold Coast City",,,"Queensland","QLD","Australia","au",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Melbourne Beach, Brevard County",28.0683496,-80.5603303,"Melbourne Beach, FL, United States of America",,,"Melbourne Beach",,"Brevard County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Guantanamo Bay",19.919752,-75.115268,"USNB, Guantanamo Bay , United States",,,,"USNB, Guantanamo Bay",,,,"United States","us",1,,,"https://www.whosonfirst.org/docs/licenses/"
"Isla Isabella",16.8150002,-88.15101061125412,"Isla Isabella, Stann Creek District, Belize",,,,"Isla Isabella",,"Stann Creek District",,"Belize","bz",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Guantanamo",19.9709396,-75.14345825291102,"Guantánamo Bay, Caimanera, Guantánamo, Cuba",,,"Caimanera","Guantánamo Bay",,"Guantánamo",,"Cuba","cu",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Honokowai, Maui",20.953821,-156.6862836,"Honokowai, HI 96761, United States of America",,,"Honokowai","Honokowai","Maui County","Hawaii","HI","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Off West End",38.822265,-77.114724,"West End, Alexandria, VA, United States of America",,,"Alexandria","West End","City of Alexandria","Virginia","VA","United States","us",1,,,"https://www.whosonfirst.org/docs/licenses/"
"Palm Beach Shores, Palm Beach County",26.7781183,-80.0355962,"Palm Beach Shores, FL, United States of America",,,"Palm Beach Shores",,"Palm Beach County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"New Smyrna Beach, Volusia County",29.0258132,-80.9271271,"New Smyrna Beach, New Smyrna Beach, FL, United States of America",,,"New Smyrna Beach",,"Volusia County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Sullivan's Island",32.770151,-79.83133553033889,"Sullivan's Island, SC 29482, United States of America",,,"Sullivan's Island",,"Charleston County","South Carolina","SC","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Indian River Inlet, Rehoboth Beach",38.60992505,-75.06817774765801,"U.S. Coast Guard - Station Indian River Inlet, Rehoboth Beach, DE 19971, United States of America",,,"Rehoboth Beach","U.S. Coast Guard - Station Indian River Inlet","Sussex County","Delaware","DE","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Direction Island",-21.5339382,115.13050208732683,"Direction Island, Shire Of Ashburton, WA, Australia",,,"Shire Of Ashburton","Direction Island",,"Western Australia","WA","Australia","au",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Waveland Beach, Hutchinson Island, St. Lucie County",27.26782,-80.20671,"Waveland, FL, United States of America",,,"Waveland",,"St. Lucie County","Florida","FL","United States","us",0,,,"https://www.whosonfirst.org/docs/licenses/"
"New Smyrna Beach, Volusia County",29.0258132,-80.9271271,"New Smyrna Beach, New Smyrna Beach, FL, United States of America",,,"New Smyrna Beach",,"Volusia County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
,,,,,,,,,,,,,,,,
"Holden Beach, Brunswick County",33.9135061,-78.3038892,"Holden Beach, NC, United States of America",,,"Holden Beach",,"Brunswick County","North Carolina","NC","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Fort Lauderdale",26.1223084,-80.1433786,"Fort Lauderdale, FL, United States of America",,,"Fort Lauderdale",,"Broward County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Gansbaai",-34.582778,19.352222,"Gansbaai, Overstrand Local Municipality, WC, South Africa",,,"Overstrand Local Municipality","Gansbaai","Overberg District Municipality","Western Cape","WC","South Africa","za",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Jacksonville Beach, Duval County",30.2946859,-81.3931396,"Jacksonville Beach, Jacksonville Beach, FL, United States of America",,,"Jacksonville Beach",,"Duval County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Piedade Beach",32.74363,-16.711246,"Piedade, Caniçal, Portugal",,,"Caniçal",,,"Madeira",,"Portugal","pt",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Fido's Reef, 300 m east of Cook Island. Cook Island is 2 miles from Tweed Heads, Gold Coast",32.785833,-96.965062,"300 Reef, Irving, TX, United States of America",,,"Irving",,"Dallas County","Texas","TX","United States","us",0,"© OpenAddresses contributors","BSD-3-Clause License",
"Salt Rock",41.0103752,-73.5965138,"Salt Rock, Greenwich, CT 06876, United States of America",,,"Greenwich","Salt Rock","Western Connecticut Planning Region","Connecticut","CT","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Perth? (Margaret River District)",-33.9333385,115.1518471,"Margaret River WA 6285, Australia",,,"Margaret River","Margaret River",,"Western Australia","WA","Australia","au",,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Palm Beach?",26.7056172,-80.0361517,"Palm Beach, FL, United States of America",,,"Palm Beach",,"Palm Beach County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Fort Lauderdale, Broward County",26.1223084,-80.1433786,"Fort Lauderdale, FL, United States of America",,,"Fort Lauderdale",,"Broward County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"St Augustine Beach. St. Johns County",29.8508613,-81.2716634,"Saint Augustine Beach, FL 32080, United States of America",,,"Saint Augustine Beach",,"Saint Johns County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Copacabana Beach, Rio de Janiero",-18.491867,-70.326837,"Copacabana, Arica, Chile",,,"Arica",,"Arica","De Tarapaca",,"Chile","cl",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Great Barrier Reef  (near Upolu Bay)",26.569402,-80.150485,"Barrier Reef, Palm Beach County, FL, United States of America",,,,,"Palm Beach County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Glencairn, False Bay",45.57492,11.45661,"Via False, Monteviale VI, Italy","Monteviale","VI","Monteviale",,"Vicenza","Veneto","VEN","Italy","it",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
,,,,,,,,,,,,,,,,
"Paramatta River (near Sydney)",-34.0459,137.62663,"Paramatta, Copper Coast, Australia","Warburto",,"Paramatta",,"Copper Coast","South Australia","SA","Australia","au",0,,"CC BY 4.0","https://www.geonames.org/datasources/"
"Ponce Inlet, Volusia County",29.0963729,-80.9369983,"Ponce Inlet, FL, United States of America",,,"Ponce Inlet",,"Volusia County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Fripp Island, Beaufort County",32.3223759,-80.4821328,"Fripp Island, SC 29920, United States of America",,,"Fripp Island","Fripp Island","Beaufort County","South Carolina","SC","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"New Smyrna Beach, Volusia County",29.0258132,-80.9271271,"New Smyrna Beach, New Smyrna Beach, FL, United States of America",,,"New Smyrna Beach",,"Volusia County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Struis Bay",-26.561474,27.994258,"Struis Street, Midvaal, South Africa",,,"Midvaal",,"Sedibeng","Gauteng","GT","South Africa","za",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Waddell Reef, Santa Cruz County",-17.33367,-61.958507,"Santa Cruz, Bolivia",,,,"Santa Cruz",,"Santa Cruz","S","Bolivia","bo",0,,,"https://www.whosonfirst.org/docs/licenses/"
"Grand Strand, Myrtle Beach, Horry County",33.8112835,-78.7233511,"Grand Strand Airport, Terminal Street, North Myrtle Beach, SC 29582, United States of America","Timber Ridge",,"North Myrtle Beach","Grand Strand Airport","Horry County","South Carolina","SC","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Kei River Mouth",-32.68197,28.37632,"Kei Mouth, Amathole, South Africa","Great Kei",,"Kei Mouth",,"Amathole","Eastern Cape","EC","South Africa","za",0,,,"https://www.whosonfirst.org/docs/licenses/"
"New Smyrna Beach, Volusia County",29.0258132,-80.9271271,"New Smyrna Beach, New Smyrna Beach, FL, United States of America",,,"New Smyrna Beach",,"Volusia County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Stuart Beach, Martin County",27.2256486,-80.2202114,"Stuart Welcome Arch, Northeast Dixie Highway, Jensen Beach, FL 34957, United States of America",,,"Jensen Beach","Stuart Welcome Arch","Martin County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Jeffrey's Bay",40.6292647,-74.0259399,"Jeffrey S. Frieling, MD, FACS, 7704 4th Avenue, New York, NY 11209, United States of America","Bay Ridge",,"New York","Jeffrey S. Frieling, MD, FACS",,"New York","NY","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Boa Viagem, Recife",-8.1235027,-34.9033955,"Boa Viagem, Recife, PE, Brazil","Recife",,"Recife",,"Região Metropolitana do Recife","Pernambuco","PE","Brazil","br",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Whitsunday Passage",-20.2534219,148.8755719,"Whitsunday Passage, Whitsunday Regional, Whitsundays, Australia","Whitsundays",,"Whitsunday Regional","Whitsunday Passage",,"Queensland","QLD","Australia","au",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Cocoa Beach, Brevard County",28.3194741,-80.6102592,"Cocoa Beach, Cocoa Beach, FL, United States of America",,,"Cocoa Beach",,"Brevard County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Nakalele Point, Maui",21.0306924,-156.588318,"Nakalele Point, Maui County, HI, United States of America",,,,"Nakalele Point","Maui County","Hawaii","HI","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Suicide Point, Point Leo",-37.978231,145.100567,"Moorabbin Airport, Kingston, Australia","Moorabbin Airport",,"Moorabbin Airport",,"Kingston","Victoria","VIC","Australia","au",0,,,"https://www.whosonfirst.org/docs/licenses/"
"Mona Vale",-33.6769931,151.3029577,"Sydney NSW 2103, Australia",,,"Sydney",,,"New South Wales","NSW","Australia","au",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Mutton Bird Island, Albany",-35.05162675,117.69728089121375,"Mutton Bird Island, City Of Albany, WA, Australia",,,"City Of Albany","Mutton Bird Island",,"Western Australia","WA","Australia","au",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Pawleys Island, Georgetown County",33.4293486,-79.1215912,"Pawleys Island, SC, United States of America",,,"Pawleys Island",,"Georgetown County","South Carolina","SC","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Jangkodo Island",53.09975,14.241523,"Straße Id, Schwedt, Germany","Schwedt/Oder",,"Schwedt",,"Uckermark","Brandenburg","BB","Germany","de",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
,,,,,,,,,,,,,,,,
"Mossel Bay",-34.1832022,22.1536248,"Mossel Bay Local Municipality, 6506, South Africa",,,"Mossel Bay Local Municipality","Mossel Bay","Garden Route District Municipality","Western Cape","WC","South Africa","za",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Piedade",-23.7074096,-47.4252319,"Piedade - SP, 18170-000, Brazil",,,"Piedade",,"Região Metropolitana de Sorocaba","São Paulo","SP","Brazil","br",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
,,,,,,,,,,,,,,,,
"Kea'au Beach Park, O'ahu",19.62988,-155.038386,"Keaau Loop, Keaau, HI, United States of America",,,"Keaau",,"Hawaii County","Hawaii","HI","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Lanaikea, O'ahu",,,,,,,,,,,,,,,,
"Praia de São Marcus, Sáo Luiz",1.546354,7.399837,"Praia Seca, Príncipe, Sao Tome and Principe",,,,,,"Príncipe",,"Sao Tome and Principe","st",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Praia da Marcela, São Marcos Bay",2.631579,43.681258,"Bay, Somalia",,,,"Bay",,"Bay","BY","Somalia","so",0,,,"https://www.whosonfirst.org/docs/licenses/"
"Nagahama-cho, 40 km southwest of Matsuyama",35.384572,136.26995,"Nagahama, Japan",,,"Nagahama",,"Nagahama","Shiga Prefecture",,"Japan","jp",0,,,"https://www.whosonfirst.org/docs/licenses/"
"Trinidad Head, Humboldt County",41.0543691,-124.1518647,"Trinidad Head Trail, Trinidad, CA, United States of America",,,"Trinidad","Trinidad Head Trail","Humboldt County","California","CA","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Baie de la Mare",46.282986300000005,-1.163540306110927,"Réserve naturelle de la baie de l'Aiguillon, 85580 Triaize, France",,,"Triaize","Réserve naturelle de la baie de l'Aiguillon","Vendée","Pays de la Loire","PDL","France","fr",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Montera Beach, San Mateo County",28.009717,-15.531733,"S Mateo, Canary Islands, Spain","Vega De San Mateo","GC","S Mateo",,"Las Palmas","Canary Islands",,"Spain","es",0,,,"https://www.whosonfirst.org/docs/licenses/"
"Jeffreys Bay",-34.051111,24.922222,"Jeffreys Bay, Kouga Local Municipality, 6330, South Africa",,,"Kouga Local Municipality","Jeffreys Bay","Sarah Baartman District Municipality","Eastern Cape","EC","South Africa","za",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
,,,,,,,,,,,,,,,,
"Shell Island Panama City Beach, Bay County",30.12983825,-85.731082329139,"Shell Island Shuttle, 4607 State Park Lane, Panama City Beach, FL 32408, United States of America",,,"Panama City Beach","Shell Island Shuttle","Bay County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Ippocampo",45.537910350000004,9.421999536297772,"Ippocampo, Gorgonzola, Lombardy, Italy","Ippocampo",,"Gorgonzola","Ippocampo","Milan","Lombardy",,"Italy","it",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Daytona Beach, Volusia County",29.2108147,-81.0228331,"Daytona Beach, FL, United States of America",,,"Daytona Beach",,"Volusia County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Singer Island, Riviera Beach, Palm Beach County",26.7850625,-80.0375408,"Singer Island, Riviera Beach, FL 33404, United States of America",,,"Riviera Beach","Singer Island","Palm Beach County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Brighton Beach, Durban",-29.9383333,31.0025,"Brighton Beach, Durban, NL, South Africa",,,"Durban","Brighton Beach","eThekwini Metropolitan Municipality","KwaZulu-Natal","NL","South Africa","za",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Sydney",-33.8698439,151.2082848,"Sydney, NSW, Australia",,,"Sydney",,,"New South Wales","NSW","Australia","au",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
,,,,,,,,,,,,,,,,
"Platbank",-34.0458897,22.8376684,"Platbank, Knysna Ward 1, Knysna Local Municipality, 6573, South Africa",,,"Knysna Local Municipality","Platbank","Garden Route District Municipality","Western Cape","WC","South Africa","za",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"3 km west of Rottnest Island",-32.0069345,115.52076766295937,"Rottnest Island, City Of Cockburn, WA, Australia","Rottnest Island",,"City Of Cockburn",,,"Western Australia","WA","Australia","au",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Fort Pierce Inlet, St Lucie County",27.4704646,-80.2968759,"Fort Pierce Inlet, Saint Lucie County, FL 34949, United States of America",,,,"Fort Pierce Inlet","Saint Lucie County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Boynton Beach, Palm Beach County",26.5256179,-80.0666026,"Boynton Beach, FL, United States of America",,,"Boynton Beach",,"Palm Beach County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Off Lodestone Reef, Great Barrier Reef, north of Townsville",26.569402,-80.150485,"Barrier Reef, Palm Beach County, FL, United States of America",,,,,"Palm Beach County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Haulover Inlet, Dade County",25.9041626,-80.1262252,"Bakers Haulover Inlet, Bal Harbor Beach, FL 33154, United States of America",,,"Bal Harbor Beach","Bakers Haulover Inlet","Miami-Dade County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Daws Island, Broad River (near Beaufort)",32.32798,-80.76344,"Daws Island, Beaufort County, SC, United States of America",,,,"Daws Island","Beaufort County","South Carolina","SC","United States","us",0,,"CC BY 4.0","https://www.geonames.org/datasources/"
"Patrick Air Force Base, Brevard County",28.2422228,-80.60910739343556,"Patrick Space Force Base, South Patrick Shores, FL 32925, United States of America",,,"South Patrick Shores","Patrick Space Force Base","Brevard County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Bahia Totoralillo, 80  km north of Coquimbo",-29.9828853,-71.35043218200265,"Condominio La Bahía, Sindempart, Coquimbo, Provincia de Elqui, Chile",,,"Coquimbo","Condominio La Bahía","Provincia de Elqui","Coquimbo Region",,"Chile","cl",,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Mnini",-3.2889602,37.3540536,"Mnini, Kilimanjaro, Tanzania","Moshi Rural",,"Mnini","Mnini","Moshi Rural","Kilimanjaro",,"Tanzania","tz",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Jacksonville, Duval County",30.3321838,-81.655651,"Jacksonville, FL, United States of America",,,"Jacksonville",,"Duval County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"New Smyrna Beach, Volusia County",29.0258132,-80.9271271,"New Smyrna Beach, New Smyrna Beach, FL, United States of America",,,"New Smyrna Beach",,"Volusia County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Junpinpin, off Stradbroke Island",64.779262,-18.673522,"Iceland",,,,"Iceland",,,,"Iceland","is",0,,,"https://www.whosonfirst.org/docs/licenses/"
,,,,,,,,,,,,,,,,
"Southern end of the Sinai Peninsula",51.241595,6.268033,"End, Schwalmtal, Germany","Schwalmtal",,"Schwalmtal",,"Viersen","North Rhine-Westphalia",,"Germany","de",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"St. Croix, Cane Bay",17.7733057,-64.8107005,"Cane Bay, VI 00851, United States of America",,,"Cane Bay","Cane Bay","Saint Croix District","United States Virgin Islands",,"United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Pancake Creek",47.8710381,-94.1127565,"Pancake Creek, Koochiching County, MN, United States of America",,,,"Pancake Creek","Koochiching County","Minnesota","MN","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
